,company,location,skills,experience
30,Vestas Wind Technology India Pvt Ltd,Chennai,"bi  ,  dashboards  ,  database  ,  data scientist  ,  advanced analytics  ,  data analytics  ,  data analyst  ,  statistical analysis  ,  sql programming",4 - 7 yrs
31,Exxonmobil Company India Pvt Ltd,,"visualization  ,  business requirements  ,  data extraction  ,  data analytics  ,  data analyst  ,  tableau  ,  business process",2 - 5 yrs
32,IKON,"Hyderabad/Secunderabad,  Gurgaon,  Chennai,  Pune,  Bengaluru / Bangalore","bi  ,  sql  ,  requirement gathering  ,  database  ,  advanced excel  ,  data visualization  ,  data analysis  ,  data analyst  ,  alteryx  ,  tableau",3 - 5 yrs
33,Huawei Technologies Co Ltd,Turkey,"bi  ,  data warehousing  ,  product roadmap  ,  sql  ,  requirement analysis  ,  data analysis  ,  data analyst",0 - 3 yrs
34,Upstox,Mumbai,"visualization  ,  information technology  ,  business analyst  ,  dashboards  ,  sql  ,  database  ,  data extraction  ,  customer success  ,  data analyst  ,  tableau  ,  analyst",3 - 5 yrs
35,Near,Bengaluru / Bangalore,"authoring  ,  business requirements  ,  bi  ,  data reports  ,  data analyst  ,  sql  ,  use cases  ,  data visualization",2 - 5 yrs
36,Fincity,,"data analytics  ,  business analyst  ,  data analyst  ,  security  ,  tableau  ,  documentation skills  ,  sql database",5 - 8 yrs
37,IDP EDUCATION INDIA PVT LTD,Chennai,"business requirements  ,  data mining  ,  dashboards  ,  sql  ,  functional requirements  ,  data analysis  ,  business analytics  ,  data analyst  ,  computing skills",2 - 5 yrs
38,ANR SOFTWARE PVT LTD,Noida/Greater Noida,"data analytics  ,  information management  ,  sas  ,  spss  ,  data analyst  ,  sql  ,  data science  ,  written communication",0 - 1 yrs
39,Aptean,,"c  ,  director  ,  reporting analyst  ,  bi  ,  dashboards  ,  data analyst  ,  sql  ,  process documentation",4 - 7 yrs
40,Bottomline Technologies,,"bi  ,  dashboards  ,  sql  ,  data science  ,  data scientist  ,  data analysis  ,  customer success  ,  data analyst  ,  written communication",0 - 3 yrs
41,McAfee Software  ( India )  Pvt Ltd,Bengaluru / Bangalore,"data mining  ,  bi  ,  dashboards  ,  sql  ,  security  ,  data visualization  ,  data analysis  ,  data analytics  ,  predictive analytics  ,  data analyst  ,  tableau",4 - 7 yrs
42,SEVEN CONSULTANCY,Chennai,"data analytics  ,  big data analytics  ,  data mining  ,  consulting  ,  data reports  ,  data analyst  ,  database  ,  data science  ,  data scientist  ,  analyst",4 - 7 yrs
43,SEVEN CONSULTANCY,"Delhi,  Delhi/NCR","data analytics  ,  big data analytics  ,  data mining  ,  consulting  ,  data reports  ,  data analyst  ,  database  ,  data science  ,  data scientist  ,  analyst",0 - 3 yrs
44,Nanobi data and analytics pvt ltd,Bengaluru / Bangalore,"sas  ,  consulting  ,  bi  ,  spss  ,  data analyst  ,  sql  ,  data science  ,  data scientist",7 - 9 yrs
45,SEVEN CONSULTANCY,Mumbai,"data analytics  ,  big data analytics  ,  data mining  ,  data reports  ,  data analyst  ,  database  ,  data science  ,  data scientist  ,  analyst",0 - 3 yrs
46,SEVEN CONSULTANCY,"Delhi,  Delhi/NCR","data analytics  ,  big data analytics  ,  data mining  ,  data reports  ,  data analyst  ,  database  ,  data science  ,  data scientist  ,  analyst",1 - 3 yrs
47,SEVEN CONSULTANCY,Chennai,"data analytics  ,  big data analytics  ,  data mining  ,  data reports  ,  data analyst  ,  database  ,  data science  ,  data scientist  ,  analyst",4 - 7 yrs
48,SEVEN CONSULTANCY,Bengaluru / Bangalore,"data analytics  ,  big data analytics  ,  data mining  ,  data reports  ,  data analyst  ,  database  ,  data science  ,  data scientist  ,  analyst",2 - 3 yrs
49,SEVEN CONSULTANCY,Hyderabad/Secunderabad,"data mining  ,  spss  ,  data warehousing  ,  sql  ,  data science  ,  xml  ,  data visualization  ,  data analytics  ,  data analysis  ,  sas  ,  information management  ,  big data analytics  ,  data analyst  ,  business objects  ,  analyst",1 - 3 yrs
50,Analytics Vidhya,Bengaluru / Bangalore,"visualization  ,  regression analysis  ,  dashboards  ,  sql  ,  java  ,  data science  ,  data structures  ,  data analytics  ,  customer success  ,  sas  ,  business analytics  ,  data analyst  ,  tableau  ,  unix  /  linux",3 - 5 yrs
51,FresherMart,Mumbai,"mis executive  ,  vlookup  ,  sql",1 - 3 yrs
52,Bloom Consulting Services,Bengaluru / Bangalore,"data mining  ,  writtencommunication  ,  java  ,  hadoop  ,  technical skills  ,  c  ,  vb  ,  reporting tools",0 - 3 yrs
53,New Century Health,,"business intelligence  ,  business intelligence tools  ,  data quality  ,  ssis  ,  bi  ,  sql  ,  database  ,  data modeling  ,  mcdba  ,  integration services",2 - 4 yrs
54,PRGX India Private Ltd,,"information technology  ,  bi  ,  data warehousing  ,  sql  ,  database  ,  data transformation  ,  etl  ,  oracle  ,  ssas  ,  web technologies  ,  project delivery  ,  ssis",2 - 5 yrs
55,Analytics Vidhya,"Hyderabad/Secunderabad,  Mumbai,  Delhi,  Delhi/NCR,  Pune","bi  ,  business intelligence  ,  sql  ,  qlikview",2 - 5 yrs
56,ANZ GRINDLAYS BANK,Australia,"sql  ,  database  ,  python  ,  oracle  ,  sas",2 - 3 yrs
57,Cognizant Technology Solutions,Mumbai,"clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",2 - 3 yrs
58,ANZ GRINDLAYS BANK,Indonesia,"sql  ,  python  ,  team player  ,   Data Analysis",2 - 3 yrs
59,SEVEN CONSULTANCY,Hyderabad/Secunderabad,"Defining new data collection  ,  Interpretation of collected data  ,  trends in data sets",0 - 3 yrs
60,ANZ GRINDLAYS BANK,Australia,"oracle  ,  sql  ,  pl  /  sql",2 - 3 yrs
61,Paypal India Pvt Ltd,Chennai,"program management  ,  sql  ,  python  ,  sas  ,  mobile  ,  problem solving",2 - 4 yrs
62,Cognizant Technology Solutions,Hyderabad/Secunderabad,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
63,Analytics Vidhya,Hyderabad/Secunderabad,"information technology  ,  technology consulting  ,  software life cycle  ,  python  ,  information management",3 - 8 yrs
64,Analytics Vidhya,"Delhi,  Delhi/NCR","python  ,  problem solving  ,  reporting tools",3 - 5 yrs
65,Infosys Technologies Ltd,,"information technology  ,  unix shell scripting  ,  project life cycle  ,  big data  ,  global delivery  ,  javascript  ,  bi  ,  data warehousing  ,  sql  ,  perl  ,  written communication  ,  unix shell",4 - 7 yrs
66,Course5 Intelligence,Mumbai,"Big Data  ,  data cleaning  ,  SPSS",2 - 5 yrs
67,TandA HR Solutions,Mohali,"sas  ,  data mining  ,  javascript  ,  sql  ,  business objects  ,  xml",2 - 5 yrs
68,Neustar,Hyderabad/Secunderabad,"business rules  ,  sql  ,  security  ,  database  ,  cloud computing  ,  python  ,  sql programming",2 - 5 yrs
69,Clarivate Analytics,,"sql  ,  security  ,  sas  ,  ms access  ,  ehr  ,  analyst",0 - 3 yrs
70,Clarivate Analytics,,"sql  ,  security  ,  sas  ,  ms access  ,  ehr  ,  analyst",0 - 3 yrs
71,Analytics Vidhya,Bengaluru / Bangalore,"python  ,  sas  ,  data mining  ,  ensemble  ,  machine learning  ,  sql  ,  pl  /  sql",0 - 2 yrs
72,Gartner India Research & Advisory Services Pvt Ltd,,"bi  ,  sql  ,  database  ,  business applications  ,  problem solving  ,  written communication  ,  management systems",2 - 5 yrs
73,Analytics Vidhya,Bengaluru / Bangalore,"sql  ,  unix shell scripting  ,  games  ,  perl  ,  python  ,  perl scripting  ,  sas  ,  problem solving  ,  unix shell  ,  php",4 - 6 yrs
74,NTT Data Vertex Software Inc.,Washington DC,"sql  ,  database  ,  xml  ,  infrastructure",10 - 12 yrs
75,advanced risk analytics private limited,Pune,"visualizing data  ,  data collection  ,  Flood data",0 - 3 yrs
76,HR DEVI AND ASSOCIATES,Gurgaon,"data mining  ,  sql  ,  sql developer  ,  python  ,  business objects",4 - 7 yrs
77,Reliance Jio Infocomm Limited,Mumbai,"metadata  ,  data mining  ,  datamining  ,  bi  ,  data warehousing  ,  business intelligence  ,  pentaho  ,  data structures  ,  mobile",8 - 10 yrs
78,Cognizant Technology Solutions,Hyderabad/Secunderabad,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
79,Beno Staffing,Ghaziabad,"reports  ,  budgeting  ,  financial projections  ,  profit  ,  finance",0 - 3 yrs
80,Bloom Consulting Services,Bengaluru / Bangalore,"bi  ,  sql  ,  database  ,  devops  ,  ssrs",1 - 2 yrs
81,Kwalee,Bengaluru / Bangalore,"c    ,  mobile games  ,  sql  ,  jam  ,  games  ,  python  ,  mobile  ,  nosql",0 - 3 yrs
82,JLL,Philippines,"Ensure Databases  ,   Business Support  ,   Data Quality  ,   Continually Review Processes",1 - 3 yrs
83,TandA HR Solutions,Chandigarh,"excel  ,  audit  ,  strong analytical skills.Strong Data Mining",0 - 3 yrs
84,J Walter Thompson India Pvt Ltd,,"Data IQ awards  ,  data-driven  ,  Best Data and Analytics",0 - 3 yrs
85,Cognizant Technology Solutions,Hyderabad/Secunderabad,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
86,CashKaro,Gurgaon,"data analysis  ,  data analytics  ,  bi  ,  dashboards  ,  sql  ,  tableau  ,  advanced excel",4 - 7 yrs
87,QuEST Global Engineering Pvt Ltd,,"Regulated Industries  instruction  ,  aerospace  ,  technology development",2 - 3 yrs
88,QuEST Global Engineering Pvt Ltd,,"Regulated Industries  instruction  ,  aerospace  ,  technology development",0 - 2 yrs
89,kudosindia,Mumbai,"test cases  ,  database  ,  metrics  ,  component testing",0 - 3 yrs
90,TECHNOPARK TRIVANDRUM,Thiruvananthapuram,"fundamentals  ,  computer skills  ,   data analysis",1 - 4 yrs
91,Lalamove,Hong Kong,"fundamentals  ,  data mining  ,  bi  ,  sql  ,  git  ,  linux  ,  rest  ,  python  ,  team player",2 - 5 yrs
92,DecisionTree Analytics and Services,Gurgaon,"data mining  ,  sql  ,  postgresql  ,  mysql  ,  product delivery  ,  written communication",1 - 3 yrs
93,Whatfix,Bengaluru / Bangalore,"algorithms  ,  data mining  ,  bi  ,  machine learning  ,  sql  ,  application support",3 - 6 yrs
94,GfK,,"market research  ,  research  ,  online media  ,  consumer insights",2 - 7 yrs
95,Financepeer,Hyderabad/Secunderabad,"data mining  ,  sql  ,  xml  ,  sas  ,  information management  ,  javascript  ,  business objects",3 - 6 yrs
96,Reliance Jio Infocomm Limited,Mumbai,"metadata  ,  data mining  ,  datamining  ,  bi  ,  data warehousing  ,  business intelligence  ,  pentaho  ,  data structures  ,  mobile",0 - 3 yrs
97,Binance,China,"c    ,  sql  ,  database management  ,  java  ,  python  ,  sas  ,  team player  ,  machine learning  ,  nosql  ,  neo4j",2 - 5 yrs
98,BUSISOL SOURCING INDIA PVT. LTD,Mumbai,"charts  ,  data mining  ,  formulas  ,  relational database  ,  sql server  ,  reporting services",0 - 3 yrs
99,Tanla Solutions Ltd,Hyderabad/Secunderabad,"python  ,  oracle  ,  sql",0 - 3 yrs
100,Valence Health,,"sql  ,  data engineer  ,  data quality  ,  ssis",3 - 6 yrs
101,Binance,Singapore,"c    ,  sql  ,  database management  ,  java  ,  python  ,  sas  ,  team player  ,  machine learning  ,  nosql  ,  neo4j",2 - 5 yrs
102,Resilinc,,"algorithms  ,  sql  ,  java  ,  big data  ,  python  ,  sql development  ,  natural language processing  ,  machine learning  ,  javascript",1 - 2 yrs
103,BUSISOL SOURCING INDIA PVT. LTD,Delhi,"reports  ,  charts  ,  data mining  ,  formulas  ,  reporting services  ,  relational database  ,  sql server",0 - 3 yrs
104,Clarivate Analytics,,"sql  ,  security  ,  sas  ,  ms access  ,  ehr  ,  analyst",0 - 3 yrs
105,globals ites pvt. ltd.,Bengaluru / Bangalore,"data mining  ,  bi  ,  sql  ,  java  ,  apache  ,  hadoop  ,  python",0 - 3 yrs
106,Neustar,Hyderabad/Secunderabad,"business rules  ,  sql  ,  security  ,  database  ,  cloud computing  ,  python  ,  sql programming",3 - 5 yrs
107,Cognizant Technology Solutions,Mumbai,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
108,Cognizant Technology Solutions,Hyderabad/Secunderabad,"clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
109,Carlson Wagonlit Travel India Pvt Ltd,Gurgaon,"information technology  ,  big data  ,  python  ,  impala  ,  hive  ,  sql  ,  security  ,  hadoop  ,  software life cycle  ,  problem solving  ,  machine learning",0 - 3 yrs
110,APPLYCUP HIRING SOLUTIONS LLP,Indore,"oogle Analytics  ,   Adobe Analytics  ,   Appsee  ,   Glassbox  ,   mobile  ,   apps",2 - 4 yrs
111,Cognizant Technology Solutions,Hyderabad/Secunderabad,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
112,Cognizant Technology Solutions,Bengaluru / Bangalore,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
113,Cognizant Technology Solutions,Hyderabad/Secunderabad,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
114,Avalara,,"web services  ,  sql  ,  design patterns  ,  mentoring  ,  relational database",5 - 8 yrs
115,ACISION,Bengaluru / Bangalore,"rest api  ,  data mining  ,  sql  ,  xml  ,  json  ,  sas  ,  information management  ,  javascript  ,  messaging  ,  business objects  ,  network software",0 - 3 yrs
116,Grab,Philippines,"python  ,  bi  ,  sql  ,  big data",2 - 5 yrs
117,Hexanika,Pune,"test data  ,  sql queries  ,  testing  ,  sql",0 - 3 yrs
118,QuinStreet Software India Pvt Ltd,Pune,"algorithms  ,  data mining  ,  sql  ,  database  ,  oracle  ,  problem solving  ,  written communication",20 - 23 yrs
119,Neustar,Hyderabad/Secunderabad,"business rules  ,  sql  ,  security  ,  database  ,  cloud computing  ,  python  ,  sql programming",2 - 5 yrs
120,APPLYCUP HIRING SOLUTIONS LLP,Pune,"test data  ,  sql queries  ,  testing  ,  sql",3 - 6 yrs
121,APPLYCUP HIRING SOLUTIONS LLP,"Delhi,  Delhi/NCR","ssas  ,  business intelligence  ,  business intelligence tools  ,  ssis  ,  data integration",2 - 5 yrs
122,Cognizant Technology Solutions,Pune,"reports  ,  mentor  ,  customer interaction  ,  coding  ,  database  ,  security  ,  procedures  ,  c",0 - 3 yrs
123,Cognizant Technology Solutions,Mumbai,"reports  ,  mentor  ,  customer interaction  ,  coding  ,  database  ,  security  ,  procedures  ,  c",0 - 3 yrs
124,Cognizant Technology Solutions,Pune,"reports  ,  mentor  ,  customer interaction  ,  coding  ,  database  ,  security  ,  procedures  ,  c",0 - 3 yrs
125,Cognizant Technology Solutions,Mumbai,"reports  ,  mentor  ,  customer interaction  ,  coding  ,  database  ,  security  ,  procedures  ,  c",0 - 3 yrs
126,3D PLM Software Solutions Ltd,Pune,"sql  ,  shell scripting  ,  python",0 - 3 yrs
127,JLL,Bengaluru / Bangalore,"bi  ,  sql  ,  security  ,  java  ,  report builder  ,  api  ,  big data  ,  technical skills  ,  python  ,  solution delivery  ,  team player  ,  written communication  ,  project delivery",2 - 5 yrs
128,APPLYCUP HIRING SOLUTIONS LLP,"Delhi,  Delhi/NCR","database  ,  bi  ,  sql",0 - 2 yrs
129,staffiohr,Gurgaon,"data analytics  ,  data analysis  ,  sql  ,  tableau  ,  vba  ,  advanced excel",3 - 6 yrs
130,Staffio Search,Gurgaon,"data analytics  ,  data analysis  ,  sql  ,  tableau  ,  vba  ,  advanced excel",3 - 6 yrs
131,automotiveMastermind Inc.,,"sql  ,  salesforce  ,  crm  ,  c#  ,  python  ,  information management  ,  production environment",2 - 5 yrs
132,Cognizant Technology Solutions,Bengaluru / Bangalore,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
133,Cognizant Technology Solutions,Mumbai,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
134,Cognizant Technology Solutions,Mumbai,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
135,Jump Trading,Chicago,"Python   ,  data sources  ,  data management",2 - 4 yrs
136,TALENT LEADS HR SOLUTIONS PVT LTD,Mumbai,"algorithms  ,  bi  ,  sql  ,  database  ,  python  ,  sas  ,  mining  ,  triggers  ,  machine learning",3 - 8 yrs
137,IG Infotech,,"Jira  &  JQL  ,  Jira Query Language  ,  SQL",0 - 3 yrs
138,mobileforce,Indonesia,"website  ,  campaigns  ,  google analytics  ,  social media",0 - 3 yrs
139,Cognizant Technology Solutions,Mumbai,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
140,osbIndia Private Ltd.,,"data warehousing  ,  erwin  ,  database  ,  etl  ,  data profiling  ,  data quality  ,  forms",3 - 6 yrs
141,Decision Point Analytics,Gurgaon,"python  ,  sql  ,  written communication  ,  mysql server",0 - 2 yrs
142,ValueLabs,Hyderabad/Secunderabad,"sql server development  ,  bi  ,  data warehousing  ,  couchbase  ,  hadoop  ,  big data  ,  mongodb  ,  python  ,  toad  ,  svn  ,  nosql  ,  cassandra",8 - 11 yrs
143,Cognizant Technology Solutions,Mumbai,"reports  ,  mentor  ,  customer interaction  ,  coding  ,  database  ,  security  ,  procedures  ,  c",0 - 3 yrs
144,Cognizant Technology Solutions,Pune,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
145,ACISION,,"rest api  ,  data mining  ,  sql  ,  xml  ,  json  ,  sas  ,  information management  ,  javascript  ,  messaging  ,  business objects  ,  network software",0 - 3 yrs
146,Ipseity Group,Bhopal,"reports  ,  vb  ,  data collection  ,  xml  ,  procedures",1 - 3 yrs
147,Borderless Access,Bengaluru / Bangalore,"SPSS  ,   Python  ,   R   ,   Data Analysis",2 - 3 yrs
148,Hotstar,China,"scala  ,  erlang  ,  docker  ,  spring  ,  java  ,  postgresql  ,  mysql  ,  web development  ,  hadoop  ,  big data  ,  hbase  ,  python  ,  c  ,  problem solving  ,  machine learning  ,  node.js  ,  google apps",1 - 4 yrs
149,Yodlee Infotech Pvt Ltd,Thiruvananthapuram,"team player  ,  windows  ,  sql  ,  database  ,  computer skills  ,  technical skills",3 - 6 yrs
150,Yodlee Infotech Pvt Ltd,Bengaluru / Bangalore,"bi  ,  windows  ,  oracle 10g  ,  java  ,  written communication  ,  j2ee  ,  splunk  ,  debugging  ,  technical skills",0 - 3 yrs
151,Hotstar,Mumbai,"scala  ,  storage  ,  sql  ,  python  ,  written communication",1 - 3 yrs
152,Integrated Wireless Solutions Pvt Ltd,Jeddah,"hive  ,  sql  ,  telecom  ,  cdma  ,  big data  ,  umts  ,  python  ,  telecom domain  ,  unix shell",7 - 12 yrs
153,Cognizant Technology Solutions,Mumbai,"reports  ,  mentor  ,  customer interaction  ,  coding  ,  database  ,  security  ,  procedures  ,  c",0 - 3 yrs
154,Cognizant Technology Solutions,Mumbai,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
155,Cognizant Technology Solutions,Mumbai,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
156,ACISION,,"algorithms  ,  data mining  ,  telecommunication  ,  linux  ,  perl  ,  big data  ,  python  ,  mobile  ,  machine learning  ,  messaging  ,  network software  ,  unix",0 - 3 yrs
157,ConcertAI,Bengaluru / Bangalore,"bi  ,  script language  ,  sql  ,  database  ,  big data  ,  python",5 - 7 yrs
158,Cognizant Technology Solutions,Kolkata,"business management  ,  excel  ,  mis  ,   Actively participate",0 - 3 yrs
159,Valence Health,Pune,"information technology  ,  technology leadership  ,  test cases  ,  healthcare  ,  sql  ,  qa  ,  test data  ,  sas  ,  author  ,  testing",5 - 8 yrs
160,Kwalee,Bengaluru / Bangalore,"c    ,  mobile games  ,  sql  ,  jam  ,  games  ,  python  ,  mobile  ,  nosql",2 - 3 yrs
161,Cognizant Technology Solutions,Pune,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
162,Cognizant Technology Solutions,Pune,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
163,Cognizant Technology Solutions,Pune,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
164,Cognizant Technology Solutions,Pune,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
165,Cognizant Technology Solutions,Pune,"case processing  ,  clinical trials  ,  cdm  ,  clinical  ,  pharmacy  ,  data management  ,  pharmacovigilance  ,  life sciences  ,  query management",0 - 3 yrs
166,Cognizant Technology Solutions,Gurgaon,"reports  ,  mentor  ,  customer interaction  ,  coding  ,  database  ,  security  ,  procedures  ,  c",0 - 3 yrs
167,Forstaffing,Noida/Greater Noida,"mdx  ,  ssas  ,  olap  ,  sql",3 - 5 yrs
168,GfK,,"database  ,  big data  ,  unix",1 - 2 yrs
169,Analytics Vidhya,Bengaluru / Bangalore,"reports  ,  excel  ,  mis  ,  information systems  ,  reporting",3 - 6 yrs
170,ConcertAI,Bengaluru / Bangalore,"bi  ,  script language  ,  sql  ,  database  ,  big data  ,  python",3 - 5 yrs
171,ConcertAI,Bengaluru / Bangalore,"bi  ,  script language  ,  sql  ,  database  ,  big data  ,  python",3 - 5 yrs
172,ConcertAI,Bengaluru / Bangalore,"bi  ,  script language  ,  sql  ,  database  ,  big data  ,  python",3 - 5 yrs
173,VASHI ELECTRICALS,Mumbai,"algorithms  ,  python  ,  machine learning  ,  artificial intelligence  ,  sql  ,  big data",4 - 7 yrs
